date,region,ticket_category,complaint_tickets,total_tickets,shipped_orders_hint,customer_email,ticket_body,ingested_at
2026-01-02,West,late_delivery,0,0,427,cust7970@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-02T23:45:00+05:30
2026-01-02,West,damaged_item,0,0,427,cust1506@example.com,damaged item issue reported,2026-01-02T23:45:00+05:30
2026-01-02,West,billing,1,1,427,cust216@example.com,billing issue reported,2026-01-02T23:45:00+05:30
2026-01-02,West,product_query,0,3,427,cust1013@example.com,product query issue reported,2026-01-02T23:45:00+05:30
2026-01-03,North,late_delivery,4,4,659,cust5463@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-03T23:45:00+05:30
2026-01-03,North,damaged_item,2,2,659,cust8795@example.com,damaged item issue reported,2026-01-03T23:45:00+05:30
2026-01-03,North,billing,3,3,659,cust5924@example.com,billing issue reported,2026-01-03T23:45:00+05:30
2026-01-03,North,product_query,0,4,659,cust9090@example.com,product query issue reported,2026-01-03T23:45:00+05:30
2026-01-03,South,late_delivery,6,6,558,cust929@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-03T23:45:00+05:30
2026-01-03,South,damaged_item,2,2,558,cust5411@example.com,damaged item issue reported,2026-01-03T23:45:00+05:30
2026-01-03,South,billing,0,0,558,cust1654@example.com,billing issue reported,2026-01-03T23:45:00+05:30
2026-01-03,South,product_query,0,3,558,cust8160@example.com,product query issue reported,2026-01-03T23:45:00+05:30
2026-01-03,East,late_delivery,1,1,384,cust2658@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-03T23:45:00+05:30
2026-01-03,East,damaged_item,1,1,384,cust2562@example.com,damaged item issue reported,2026-01-03T23:45:00+05:30
2026-01-03,East,billing,1,1,384,cust9176@example.com,billing issue reported,2026-01-03T23:45:00+05:30
2026-01-03,East,product_query,0,5,384,cust2469@example.com,product query issue reported,2026-01-03T23:45:00+05:30
2026-01-03,West,late_delivery,3,3,506,cust9129@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-03T23:45:00+05:30
2026-01-03,West,damaged_item,1,1,506,cust7343@example.com,damaged item issue reported,2026-01-03T23:45:00+05:30
2026-01-03,West,billing,1,1,506,cust2829@example.com,billing issue reported,2026-01-03T23:45:00+05:30
2026-01-03,West,product_query,0,1,506,cust6398@example.com,product query issue reported,2026-01-03T23:45:00+05:30
2026-01-04,North,late_delivery,4,4,659,cust6585@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-04T23:45:00+05:30
2026-01-04,North,damaged_item,4,4,659,cust7840@example.com,damaged item issue reported,2026-01-04T23:45:00+05:30
2026-01-04,North,billing,0,0,659,cust5611@example.com,billing issue reported,2026-01-04T23:45:00+05:30
2026-01-04,North,product_query,0,0,659,cust8037@example.com,product query issue reported,2026-01-04T23:45:00+05:30
2026-01-04,South,late_delivery,7,7,558,cust1917@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-04T23:45:00+05:30
2026-01-04,South,damaged_item,2,2,558,cust8240@example.com,damaged item issue reported,2026-01-04T23:45:00+05:30
2026-01-04,South,billing,0,0,558,cust7294@example.com,billing issue reported,2026-01-04T23:45:00+05:30
2026-01-04,South,product_query,0,2,558,cust9397@example.com,product query issue reported,2026-01-04T23:45:00+05:30
2026-01-04,East,late_delivery,2,2,384,cust6464@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-04T23:45:00+05:30
2026-01-04,East,damaged_item,1,1,384,cust9664@example.com,damaged item issue reported,2026-01-04T23:45:00+05:30
2026-01-04,East,billing,2,2,384,cust3113@example.com,billing issue reported,2026-01-04T23:45:00+05:30
2026-01-04,East,product_query,0,1,384,cust8191@example.com,product query issue reported,2026-01-04T23:45:00+05:30
2026-01-04,West,late_delivery,4,4,506,cust2186@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-04T23:45:00+05:30
2026-01-04,West,damaged_item,2,2,506,cust3426@example.com,damaged item issue reported,2026-01-04T23:45:00+05:30
2026-01-04,West,billing,0,0,506,cust6629@example.com,billing issue reported,2026-01-04T23:45:00+05:30
2026-01-04,West,product_query,0,3,506,cust6078@example.com,product query issue reported,2026-01-04T23:45:00+05:30
2026-01-05,North,late_delivery,5,5,557,cust6102@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-05T23:45:00+05:30
2026-01-05,North,damaged_item,1,1,557,cust4395@example.com,damaged item issue reported,2026-01-05T23:45:00+05:30
2026-01-05,North,billing,4,4,557,cust5050@example.com,billing issue reported,2026-01-05T23:45:00+05:30
2026-01-05,North,product_query,0,8,557,cust1497@example.com,product query issue reported,2026-01-05T23:45:00+05:30
2026-01-05,South,late_delivery,0,0,472,cust4478@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-05T23:45:00+05:30
2026-01-05,South,damaged_item,1,1,472,cust2682@example.com,damaged item issue reported,2026-01-05T23:45:00+05:30
2026-01-05,South,billing,2,2,472,cust8785@example.com,billing issue reported,2026-01-05T23:45:00+05:30
2026-01-05,South,product_query,0,0,472,cust5057@example.com,product query issue reported,2026-01-05T23:45:00+05:30
2026-01-06,East,late_delivery,2,2,325,cust2300@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-05T23:45:00+05:30
2026-01-05,East,damaged_item,2,2,325,cust7648@example.com,damaged item issue reported,2026-01-05T23:45:00+05:30
2026-01-05,East,billing,0,0,325,cust57@example.com,billing issue reported,2026-01-05T23:45:00+05:30
2026-01-05,East,product_query,0,1,325,cust8650@example.com,product query issue reported,2026-01-05T23:45:00+05:30
2026-01-05,West,late_delivery,3,3,428,cust9311@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-05T23:45:00+05:30
2026-01-05,West,damaged_item,1,1,428,cust8942@example.com,damaged item issue reported,2026-01-05T23:45:00+05:30
2026-01-05,West,billing,1,1,428,cust6368@example.com,billing issue reported,2026-01-05T23:45:00+05:30
2026-01-05,West,product_query,0,3,428,cust6751@example.com,product query issue reported,2026-01-05T23:45:00+05:30
2026-01-06,North,late_delivery,0,0,557,cust4494@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-06T23:45:00+05:30
2026-01-06,North,damaged_item,1,1,557,cust5414@example.com,damaged item issue reported,2026-01-06T23:45:00+05:30
2026-01-06,North,billing,1,1,557,cust5965@example.com,billing issue reported,2026-01-06T23:45:00+05:30
2026-01-06,North,product_query,0,4,557,cust1180@example.com,product query issue reported,2026-01-06T23:45:00+05:30
2026-01-06,South,late_delivery,2,2,472,cust1562@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-06T23:45:00+05:30
2026-01-06,South,damaged_item,2,2,472,cust3480@example.com,damaged item issue reported,2026-01-06T23:45:00+05:30
2026-01-06,South,billing,0,0,472,cust3680@example.com,billing issue reported,2026-01-06T23:45:00+05:30
2026-01-06,South,product_query,0,2,472,cust982@example.com,product query issue reported,2026-01-06T23:45:00+05:30
2026-01-06,East,late_delivery,1,1,325,cust5730@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-06T23:45:00+05:30
2026-01-06,East,damaged_item,1,1,325,cust4849@example.com,damaged item issue reported,2026-01-06T23:45:00+05:30
2026-01-06,East,billing,1,1,325,cust3941@example.com,billing issue reported,2026-01-06T23:45:00+05:30
2026-01-06,East,product_query,0,5,325,cust8222@example.com,product query issue reported,2026-01-06T23:45:00+05:30
2026-01-06,West,late_delivery,3,3,428,cust4591@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-06T23:45:00+05:30
2026-01-06,West,damaged_item,3,3,428,cust7980@example.com,damaged item issue reported,2026-01-06T23:45:00+05:30
2026-01-06,West,billing,3,3,428,cust8615@example.com,billing issue reported,2026-01-06T23:45:00+05:30
2026-01-06,West,product_query,0,3,428,cust4018@example.com,product query issue reported,2026-01-06T23:45:00+05:30
2026-01-07,North,late_delivery,2,2,558,cust5722@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-07T23:45:00+05:30
2026-01-07,North,damaged_item,3,3,558,cust2582@example.com,damaged item issue reported,2026-01-07T23:45:00+05:30
2026-01-07,North,billing,4,4,558,cust7950@example.com,billing issue reported,2026-01-07T23:45:00+05:30
2026-01-07,North,product_query,0,4,558,cust2768@example.com,product query issue reported,2026-01-07T23:45:00+05:30
2026-01-07,South,late_delivery,6,6,472,cust9303@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-07T23:45:00+05:30
2026-01-07,South,damaged_item,2,2,472,cust1570@example.com,damaged item issue reported,2026-01-07T23:45:00+05:30
2026-01-07,South,billing,3,3,472,cust168@example.com,billing issue reported,2026-01-07T23:45:00+05:30
2026-01-07,South,product_query,0,2,472,cust1254@example.com,product query issue reported,2026-01-07T23:45:00+05:30
2026-01-07,East,late_delivery,2,2,325,cust4896@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-07T23:45:00+05:30
2026-01-07,East,damaged_item,4,4,325,cust8585@example.com,damaged item issue reported,2026-01-07T23:45:00+05:30
2026-01-07,East,billing,2,2,325,cust607@example.com,billing issue reported,2026-01-07T23:45:00+05:30
2026-01-07,East,product_query,0,1,325,cust6755@example.com,product query issue reported,2026-01-07T23:45:00+05:30
2026-01-07,West,late_delivery,2,2,429,cust2605@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-07T23:45:00+05:30
2026-01-07,West,damaged_item,4,4,429,cust951@example.com,damaged item issue reported,2026-01-07T23:45:00+05:30
2026-01-07,West,billing,2,2,429,cust2604@example.com,billing issue reported,2026-01-07T23:45:00+05:30
2026-01-07,West,product_query,0,1,429,cust5162@example.com,product query issue reported,2026-01-07T23:45:00+05:30
2026-01-08,North,late_delivery,7,7,558,cust7595@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-08T23:45:00+05:30
2026-01-08,North,damaged_item,1,1,558,cust475@example.com,damaged item issue reported,2026-01-08T23:45:00+05:30
2026-01-08,North,billing,1,1,558,cust78@example.com,billing issue reported,2026-01-08T23:45:00+05:30
2026-01-08,North,product_query,0,2,558,cust592@example.com,product query issue reported,2026-01-08T23:45:00+05:30
2026-01-08,South,late_delivery,3,3,473,cust6362@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-08T23:45:00+05:30
2026-01-08,South,damaged_item,2,2,473,cust1804@example.com,damaged item issue reported,2026-01-08T23:45:00+05:30
2026-01-08,South,billing,2,2,473,cust4273@example.com,billing issue reported,2026-01-08T23:45:00+05:30
2026-01-08,South,product_query,0,5,473,cust4093@example.com,product query issue reported,2026-01-08T23:45:00+05:30
2026-01-08,East,late_delivery,1,1,325,cust4781@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-08T23:45:00+05:30
2026-01-08,East,damaged_item,3,3,325,cust8588@example.com,damaged item issue reported,2026-01-08T23:45:00+05:30
2026-01-08,East,billing,1,1,325,cust265@example.com,billing issue reported,2026-01-08T23:45:00+05:30
2026-01-08,East,product_query,0,4,325,cust8834@example.com,product query issue reported,2026-01-08T23:45:00+05:30
2026-01-08,West,late_delivery,1,1,429,cust7602@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-08T23:45:00+05:30
2026-01-08,West,damaged_item,2,2,429,cust5804@example.com,damaged item issue reported,2026-01-08T23:45:00+05:30
2026-01-08,West,billing,1,1,429,cust2248@example.com,billing issue reported,2026-01-08T23:45:00+05:30
2026-01-08,West,product_query,0,4,429,cust7198@example.com,product query issue reported,2026-01-08T23:45:00+05:30
2026-01-09,North,late_delivery,1,1,559,cust5002@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-09T23:45:00+05:30
2026-01-09,North,damaged_item,3,3,559,cust726@example.com,damaged item issue reported,2026-01-09T23:45:00+05:30
2026-01-09,North,billing,2,2,559,cust2167@example.com,billing issue reported,2026-01-09T23:45:00+05:30
2026-01-09,North,product_query,0,4,559,cust977@example.com,product query issue reported,2026-01-09T23:45:00+05:30
2026-01-09,South,late_delivery,5,5,473,cust7343@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-09T23:45:00+05:30
2026-01-09,South,damaged_item,0,0,473,cust6631@example.com,damaged item issue reported,2026-01-09T23:45:00+05:30
2026-01-09,South,billing,0,0,473,cust5178@example.com,billing issue reported,2026-01-09T23:45:00+05:30
2026-01-09,South,product_query,0,7,473,cust3723@example.com,product query issue reported,2026-01-09T23:45:00+05:30
2026-01-09,East,late_delivery,3,3,326,cust8111@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-09T23:45:00+05:30
2026-01-09,East,damaged_item,3,3,326,cust2116@example.com,damaged item issue reported,2026-01-09T23:45:00+05:30
2026-01-09,East,billing,0,0,326,cust5250@example.com,billing issue reported,2026-01-09T23:45:00+05:30
2026-01-09,East,product_query,0,1,326,cust4465@example.com,product query issue reported,2026-01-09T23:45:00+05:30
2026-01-09,West,late_delivery,0,0,429,cust7180@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-09T23:45:00+05:30
2026-01-09,West,damaged_item,0,0,429,cust7037@example.com,damaged item issue reported,2026-01-09T23:45:00+05:30
2026-01-09,West,billing,0,0,429,cust8701@example.com,billing issue reported,2026-01-09T23:45:00+05:30
2026-01-09,West,product_query,0,4,429,cust2761@example.com,product query issue reported,2026-01-09T23:45:00+05:30
2026-01-10,North,late_delivery,0,0,662,cust346@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-10T23:45:00+05:30
2026-01-10,North,damaged_item,4,4,662,cust8647@example.com,damaged item issue reported,2026-01-10T23:45:00+05:30
2026-01-10,North,billing,1,1,662,cust549@example.com,billing issue reported,2026-01-10T23:45:00+05:30
2026-01-10,North,product_query,0,1,662,cust5802@example.com,product query issue reported,2026-01-10T23:45:00+05:30
2026-01-10,South,late_delivery,4,4,560,cust8057@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-10T23:45:00+05:30
2026-01-10,South,damaged_item,4,4,560,cust1008@example.com,damaged item issue reported,2026-01-10T23:45:00+05:30
2026-01-10,South,billing,2,2,560,cust9260@example.com,billing issue reported,2026-01-10T23:45:00+05:30
2026-01-10,South,product_query,0,2,560,cust2467@example.com,product query issue reported,2026-01-10T23:45:00+05:30
2026-01-10,East,late_delivery,3,3,386,cust186@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-10T23:45:00+05:30
2026-01-10,East,damaged_item,0,0,386,cust1789@example.com,damaged item issue reported,2026-01-10T23:45:00+05:30
2026-01-10,East,billing,1,1,386,cust4037@example.com,billing issue reported,2026-01-10T23:45:00+05:30
2026-01-10,East,product_query,0,4,386,cust8744@example.com,product query issue reported,2026-01-10T23:45:00+05:30
2026-01-10,West,late_delivery,4,4,508,cust9943@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-10T23:45:00+05:30
2026-01-10,West,damaged_item,3,3,508,cust5204@example.com,damaged item issue reported,2026-01-10T23:45:00+05:30
2026-01-10,West,billing,0,0,508,cust2578@example.com,billing issue reported,2026-01-10T23:45:00+05:30
2026-01-10,West,product_query,0,3,508,cust4101@example.com,product query issue reported,2026-01-10T23:45:00+05:30
2026-01-11,North,late_delivery,7,7,662,cust6303@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-11T23:45:00+05:30
2026-01-11,North,damaged_item,2,2,662,cust4934@example.com,damaged item issue reported,2026-01-11T23:45:00+05:30
2026-01-11,North,billing,4,4,662,cust9353@example.com,billing issue reported,2026-01-11T23:45:00+05:30
2026-01-11,North,product_query,0,4,662,cust5006@example.com,product query issue reported,2026-01-11T23:45:00+05:30
2026-01-11,South,late_delivery,1,1,561,cust5852@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-11T23:45:00+05:30
2026-01-11,South,damaged_item,4,4,561,cust3602@example.com,damaged item issue reported,2026-01-11T23:45:00+05:30
2026-01-11,South,billing,0,0,561,cust1619@example.com,billing issue reported,2026-01-11T23:45:00+05:30
2026-01-11,South,product_query,0,5,561,cust7380@example.com,product query issue reported,2026-01-11T23:45:00+05:30
2026-01-11,East,late_delivery,2,2,386,cust1351@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-11T23:45:00+05:30
2026-01-11,East,damaged_item,0,0,386,cust8410@example.com,damaged item issue reported,2026-01-11T23:45:00+05:30
2026-01-11,East,billing,1,1,386,cust369@example.com,billing issue reported,2026-01-11T23:45:00+05:30
2026-01-11,East,product_query,0,1,386,cust9070@example.com,product query issue reported,2026-01-11T23:45:00+05:30
2026-01-11,West,late_delivery,1,1,509,cust1430@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-11T23:45:00+05:30
2026-01-11,West,damaged_item,0,0,509,cust6226@example.com,damaged item issue reported,2026-01-11T23:45:00+05:30
2026-01-11,West,billing,1,1,509,cust7551@example.com,billing issue reported,2026-01-11T23:45:00+05:30
2026-01-11,West,product_query,0,1,509,cust4092@example.com,product query issue reported,2026-01-11T23:45:00+05:30
2026-01-12,North,late_delivery,2,2,560,cust2516@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-12T23:45:00+05:30
2026-01-12,North,damaged_item,3,3,560,cust2925@example.com,damaged item issue reported,2026-01-12T23:45:00+05:30
2026-01-12,North,billing,4,4,560,cust5279@example.com,billing issue reported,2026-01-12T23:45:00+05:30
2026-01-12,North,product_query,0,2,560,cust3609@example.com,product query issue reported,2026-01-12T23:45:00+05:30
2026-01-12,South,late_delivery,1,1,474,cust7103@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-12T23:45:00+05:30
2026-01-12,South,damaged_item,4,4,474,cust2765@example.com,damaged item issue reported,2026-01-12T23:45:00+05:30
2026-01-12,South,billing,1,1,474,cust8028@example.com,billing issue reported,2026-01-12T23:45:00+05:30
2026-01-12,South,product_query,0,3,474,cust4373@example.com,product query issue reported,2026-01-12T23:45:00+05:30
2026-01-12,East,late_delivery,4,4,326,cust5977@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-12T23:45:00+05:30
2026-01-12,East,damaged_item,0,0,326,cust7946@example.com,damaged item issue reported,2026-01-12T23:45:00+05:30
2026-01-12,East,billing,1,1,326,cust6384@example.com,billing issue reported,2026-01-12T23:45:00+05:30
2026-01-12,East,product_query,0,3,326,cust9499@example.com,product query issue reported,2026-01-12T23:45:00+05:30
2026-01-13,West,late_delivery,4,4,430,cust3985@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-12T23:45:00+05:30
2026-01-12,West,damaged_item,2,2,430,cust7272@example.com,damaged item issue reported,2026-01-12T23:45:00+05:30
2026-01-12,West,billing,1,1,430,cust6495@example.com,billing issue reported,2026-01-12T23:45:00+05:30
2026-01-12,West,product_query,0,3,430,cust5095@example.com,product query issue reported,2026-01-12T23:45:00+05:30
2026-01-13,North,late_delivery,6,6,560,cust2061@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-13T23:45:00+05:30
2026-01-13,North,damaged_item,2,2,560,cust6454@example.com,damaged item issue reported,2026-01-13T23:45:00+05:30
2026-01-13,North,billing,4,4,560,cust4451@example.com,billing issue reported,2026-01-13T23:45:00+05:30
2026-01-13,North,product_query,0,1,560,cust5027@example.com,product query issue reported,2026-01-13T23:45:00+05:30
2026-01-13,South,late_delivery,1,1,474,cust9194@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-13T23:45:00+05:30
2026-01-13,South,damaged_item,1,1,474,cust3918@example.com,damaged item issue reported,2026-01-13T23:45:00+05:30
2026-01-13,South,billing,3,3,474,cust2325@example.com,billing issue reported,2026-01-13T23:45:00+05:30
2026-01-13,South,product_query,0,3,474,cust212@example.com,product query issue reported,2026-01-13T23:45:00+05:30
2026-01-13,East,late_delivery,3,3,326,cust7485@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-13T23:45:00+05:30
2026-01-13,East,damaged_item,2,2,326,cust5871@example.com,damaged item issue reported,2026-01-13T23:45:00+05:30
2026-01-13,East,billing,0,0,326,cust7006@example.com,billing issue reported,2026-01-13T23:45:00+05:30
2026-01-13,East,product_query,0,2,326,cust5658@example.com,product query issue reported,2026-01-13T23:45:00+05:30
2026-01-13,West,late_delivery,2,2,430,cust6297@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-13T23:45:00+05:30
2026-01-13,West,damaged_item,1,1,430,cust3762@example.com,damaged item issue reported,2026-01-13T23:45:00+05:30
2026-01-13,West,billing,1,1,430,cust1827@example.com,billing issue reported,2026-01-13T23:45:00+05:30
2026-01-13,West,product_query,0,3,430,cust4207@example.com,product query issue reported,2026-01-13T23:45:00+05:30
2026-01-14,North,late_delivery,1,1,560,cust1857@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-14T23:45:00+05:30
2026-01-14,North,damaged_item,2,2,560,cust1064@example.com,damaged item issue reported,2026-01-14T23:45:00+05:30
2026-01-14,North,billing,1,1,560,cust1186@example.com,billing issue reported,2026-01-14T23:45:00+05:30
2026-01-14,North,product_query,0,3,560,cust4385@example.com,product query issue reported,2026-01-14T23:45:00+05:30
2026-01-14,South,late_delivery,6,6,475,cust9566@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-14T23:45:00+05:30
2026-01-14,South,damaged_item,0,0,475,cust8790@example.com,damaged item issue reported,2026-01-14T23:45:00+05:30
2026-01-14,South,billing,2,2,475,cust2497@example.com,billing issue reported,2026-01-14T23:45:00+05:30
2026-01-14,South,product_query,0,3,475,cust3359@example.com,product query issue reported,2026-01-14T23:45:00+05:30
2026-01-14,East,late_delivery,3,3,327,cust8477@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-14T23:45:00+05:30
2026-01-14,East,damaged_item,1,1,327,cust1309@example.com,damaged item issue reported,2026-01-14T23:45:00+05:30
2026-01-14,East,billing,0,0,327,cust9638@example.com,billing issue reported,2026-01-14T23:45:00+05:30
2026-01-14,East,product_query,0,3,327,cust1087@example.com,product query issue reported,2026-01-14T23:45:00+05:30
2026-01-14,West,late_delivery,3,3,431,cust2486@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-14T23:45:00+05:30
2026-01-14,West,damaged_item,1,1,431,cust3209@example.com,damaged item issue reported,2026-01-14T23:45:00+05:30
2026-01-14,West,billing,0,0,431,cust9320@example.com,billing issue reported,2026-01-14T23:45:00+05:30
2026-01-14,West,product_query,0,3,431,cust4131@example.com,product query issue reported,2026-01-14T23:45:00+05:30
2026-01-15,North,late_delivery,6,6,561,cust5672@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-15T23:45:00+05:30
2026-01-15,North,damaged_item,1,1,561,cust5589@example.com,damaged item issue reported,2026-01-15T23:45:00+05:30
2026-01-15,North,billing,2,2,561,cust7248@example.com,billing issue reported,2026-01-15T23:45:00+05:30
2026-01-15,North,product_query,0,3,561,cust4080@example.com,product query issue reported,2026-01-15T23:45:00+05:30
2026-01-15,South,late_delivery,2,2,475,cust5714@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-15T23:45:00+05:30
2026-01-15,South,damaged_item,0,0,475,cust8105@example.com,damaged item issue reported,2026-01-15T23:45:00+05:30
2026-01-15,South,billing,2,2,475,cust9085@example.com,billing issue reported,2026-01-15T23:45:00+05:30
2026-01-15,South,product_query,0,1,475,cust5175@example.com,product query issue reported,2026-01-15T23:45:00+05:30
2026-01-15,East,late_delivery,1,1,327,cust3354@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-15T23:45:00+05:30
2026-01-15,East,damaged_item,2,2,327,cust2742@example.com,damaged item issue reported,2026-01-15T23:45:00+05:30
2026-01-15,East,billing,2,2,327,cust9015@example.com,billing issue reported,2026-01-15T23:45:00+05:30
2026-01-16,East,product_query,0,3,327,cust9892@example.com,product query issue reported,2026-01-15T23:45:00+05:30
2026-01-15,West,late_delivery,3,3,431,cust1034@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-15T23:45:00+05:30
2026-01-15,West,damaged_item,1,1,431,cust5629@example.com,damaged item issue reported,2026-01-15T23:45:00+05:30
2026-01-15,West,billing,1,1,431,cust3804@example.com,billing issue reported,2026-01-15T23:45:00+05:30
2026-01-15,West,product_query,0,3,431,cust9711@example.com,product query issue reported,2026-01-15T23:45:00+05:30
2026-01-16,North,late_delivery,7,7,561,cust1232@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-16T23:45:00+05:30
2026-01-16,North,damaged_item,0,0,561,cust738@example.com,damaged item issue reported,2026-01-16T23:45:00+05:30
2026-01-16,North,billing,0,0,561,cust6862@example.com,billing issue reported,2026-01-16T23:45:00+05:30
2026-01-16,North,product_query,0,6,561,cust9818@example.com,product query issue reported,2026-01-16T23:45:00+05:30
2026-01-16,South,late_delivery,3,3,475,cust6234@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-16T23:45:00+05:30
2026-01-16,South,damaged_item,2,2,475,cust8135@example.com,damaged item issue reported,2026-01-16T23:45:00+05:30
